Paper,DOI,Species,Year,Site,Spring_Start,SS_Lower_CI,SS_Upper_CI,Mean_SS_CI,SS_Upper_SE,SS_Lower_SE,SS_SE,Spring_Comp,SC_Lower_CI,SC_Upper_CI,Mean_SC_CI,SC_Upper_SE,SC_Lower_SE,SC_SE
1,https://doi.org/10.1098/rspb.2014.0029,Snowshoe hares (Lepus americanus),2010,Gardiner,,,,,,,,,,,,,,
1,,Snowshoe hares (Lepus americanus),2011,Gardiner,134,130,138,134,2.040816327,2.040816327,2.040816327,185,181,189,185,2.040816327,2.040816327,2.040816327
1,,Snowshoe hares (Lepus americanus),2012,Gardiner,124,121,131,126,2.551020408,2.551020408,2.551020408,167,162,171,166.5,2.295918367,2.295918367,2.295918367
2,https://doi.org/10.1111/geb.13049,Snowshoe hares (Lepus americanus),2011,Canada,,,,,,,,,,,,,,
2,,Snowshoe hares (Lepus americanus),2012,Canada,102,95,112,103.5,4.336734694,4.336734694,4.336734694,156,147,159,153,3.06122449,3.06122449,3.06122449
2,,Snowshoe hares (Lepus americanus),2013,Canada,97,90,108,99,4.591836735,4.591836735,4.591836735,143,135,148,141.5,3.316326531,3.316326531,3.316326531
2,,Snowshoe hares (Lepus americanus),2014,Canada,103,98,111,104.5,3.316326531,3.316326531,3.316326531,148,141,150,145.5,2.295918367,2.295918367,2.295918367
2,,Snowshoe hares (Lepus americanus),2015,Canada,90,85,97,91,3.06122449,3.06122449,3.06122449,136,129,141,135,3.06122449,3.06122449,3.06122449
2,,Snowshoe hares (Lepus americanus),2016,Canada,92,87,102,94.5,3.826530612,3.826530612,3.826530612,128,120,133,126.5,3.316326531,3.316326531,3.316326531
2,,Snowshoe hares (Lepus americanus),2010,Colorado,,,,,,,,,,,,,,
2,,Snowshoe hares (Lepus americanus),2011,Colorado,110,108,113,110.5,1.275510204,1.275510204,1.275510204,152,147,156,151.5,2.295918367,2.295918367,2.295918367
2,,Snowshoe hares (Lepus americanus),2014,Colorado,,,,,,,,,,,,,,
2,,Snowshoe hares (Lepus americanus),2015,Colorado,108,104,112,108,2.040816327,2.040816327,2.040816327,148,142,154,148,3.06122449,3.06122449,3.06122449
2,,Snowshoe hares (Lepus americanus),2016,Colorado,111,109,114,111.5,1.275510204,1.275510204,1.275510204,156,150,161,155.5,2.806122449,2.806122449,2.806122449
2,,Snowshoe hares (Lepus americanus),2017,Colorado,107,105,112,108.5,1.785714286,1.785714286,1.785714286,154,148,158,153,2.551020408,2.551020408,2.551020408
2,,Snowshoe hares (Lepus americanus),2014,New England,87,84,92,88,2.040816327,2.040816327,2.040816327,138,131,142,136.5,2.806122449,2.806122449,2.806122449
2,,Snowshoe hares (Lepus americanus),2015,New England,93,88,99,93.5,2.806122449,2.806122449,2.806122449,137,132,140,136,2.040816327,2.040816327,2.040816327
2,,Snowshoe hares (Lepus americanus),2016,New England,77,73,83,78,2.551020408,2.551020408,2.551020408,126,120,129,124.5,2.295918367,2.295918367,2.295918367
2,,Snowshoe hares (Lepus americanus),2017,New England,79,76,85,80.5,2.295918367,2.295918367,2.295918367,135,130,138,134,2.040816327,2.040816327,2.040816327
3,https://doi.org/10.1007/s00442-023-05371-4,Snowshoe hares (Lepus americanus),2019,Isle Royal,78,29,78,53.5,12.5,12.5,12.5,109,107,114,110.5,1.785714286,1.785714286,1.785714286
3,,Snowshoe hares (Lepus americanus),2019,Red cliff,67,65,69,67,1.020408163,1.020408163,1.020408163,105,101,108,104.5,1.785714286,1.785714286,1.785714286
3,,Snowshoe hares (Lepus americanus),2019,Mellen,69,67,70,68.5,0.765306122,0.765306122,0.765306122,102,100,104,102,1.020408163,1.020408163,1.020408163
3,,Snowshoe hares (Lepus americanus),2019,Medford,66,66,68,67,0.510204082,0.510204082,0.510204082,100,99,103,101,1.020408163,1.020408163,1.020408163
4,https://doi.org/10.1073/pnas.1222724110,Snowshoe hares (Lepus americanus),2009,Morrel creek,,,,,,,,,,,,,,
4,,Snowshoe hares (Lepus americanus),2010,Morrel creek,98,92,104,98,3.06122449,3.06122449,3.06122449,130,120,136,128,4.081632653,4.081632653,4.081632653
4,,Snowshoe hares (Lepus americanus),2011,Morrel creek,102,99,105,102,1.530612245,1.530612245,1.530612245,146,144,148,146,1.020408163,1.020408163,1.020408163
4,,Snowshoe hares (Lepus americanus),2012,Morrel creek,96,93,99,96,1.530612245,1.530612245,1.530612245,139,136,143,139.5,1.785714286,1.785714286,1.785714286
5,https://doi.org/10.1098/rspb.2020.1786,Mountain hares (Lepus timidus),1950,Scotland,77,67,85,76,4.591836735,4.591836735,4.591836735,133,125,140,132.5,3.826530612,3.826530612,3.826530612
5,,Mountain hares (Lepus timidus),2010,Scotland,78,66,88,77,5.612244898,5.612244898,5.612244898,136,126,149,137.5,5.867346939,5.867346939,5.867346939
6,https://doi.org/10.1007/s00442-020-04680-2,Snowshoe hares (Lepus americanus),2013,Chamberlain,,,,,,,,,,,,,,
6,,Snowshoe hares (Lepus americanus),2014,Chamberlain,102,91,112,101.5,5.357142857,5.357142857,5.357142857,140,130,150,140,5.102040816,5.102040816,5.102040816
6,,Snowshoe hares (Lepus americanus),2013,Marcum,88,82,93,87.5,2.806122449,2.806122449,2.806122449,137,132,142,137,2.551020408,2.551020408,2.551020408
6,,Snowshoe hares (Lepus americanus),2014,Marcum,107,103,111,107,2.040816327,2.040816327,2.040816327,146,142,150,146,2.040816327,2.040816327,2.040816327
7,https://doi.org/10.1002/ece3.10548,Mountain hares (Lepus timidus),2011,Norway,74,62,130,96,17.34693878,17.34693878,17.34693878,124,85,150,117.5,16.58163265,16.58163265,16.58163265
7,,Mountain hares (Lepus timidus),2012,Norway,75,69,85,77,4.081632653,4.081632653,4.081632653,135,123,145,134,5.612244898,5.612244898,5.612244898
7,,Mountain hares (Lepus timidus),2013,Norway,101,93,110,101.5,4.336734694,4.336734694,4.336734694,165,155,173,164,4.591836735,4.591836735,4.591836735
7,,Mountain hares (Lepus timidus),2014,Norway,88,83,91,87,2.040816327,2.040816327,2.040816327,142,134,148,141,3.571428571,3.571428571,3.571428571
7,,Mountain hares (Lepus timidus),2015,Norway,90,85,95,90,2.551020408,2.551020408,2.551020408,141,137,144,140.5,1.785714286,1.785714286,1.785714286
7,,Mountain hares (Lepus timidus),2016,Norway,92,89,94,91.5,1.275510204,1.275510204,1.275510204,143,135,147,141,3.06122449,3.06122449,3.06122449
7,,Mountain hares (Lepus timidus),2017,Norway,84,81,86,83.5,1.275510204,1.275510204,1.275510204,136,134,139,136.5,1.275510204,1.275510204,1.275510204
7,,Mountain hares (Lepus timidus),2018,Norway,100,98,101,99.5,0.765306122,0.765306122,0.765306122,150,148,152,150,1.020408163,1.020408163,1.020408163